P01_01,open door,8,202,open,2,door,8
P01_01,turn on light,262,370,turn-on,12,light,113
P01_01,close door,418,569,close,3,door,8
P01_01,open fridge,766,839,open,2,fridge,10
P01_01,take celery,915,983,take,0,celery,185
P01_01,take container,990,1083,take,0,container,29
P01_01,take tofu,1091,1268,take,0,tofu,159
P01_01,close fridge,1314,1399,close,3,fridge,10
P01_01,open fridge,1390,1457,open,2,fridge,10
P01_01,take carrots and,1468,1676,take,0,carrot,40
P01_01,open drawer,1498,1572,open,2,drawer,9
P01_01,close fridge,1753,1879,close,3,fridge,10
P01_01,put down vegetables,2200,2266,put-down,1,vegetable,90
P01_01,open cupboard,2507,2553,open,2,cupboard,8
P01_01,take cutting board,2592,2798,take,0,board:cutting,19
P01_01,put down cutting board,2787,2868,put-down,1,board:cutting,19
P01_01,close cupboard,2865,2925,close,3,cupboard,8
P01_01,open drawer,3099,3180,open,2,drawer,9
P01_01,take knife,3210,3360,take,0,knife,5
P01_01,take knife,3213,3261,take,0,knife,5
P01_01,put down knife,3283,3344,put-down,1,knife,5
P01_01,close drawer,3366,3396,close,3,drawer,9
P01_01,put down knife,3447,3522,put-down,1,knife,5
P01_01,open tap,3543,3738,open,2,tap,3
P01_01,wash courgette,3711,3913,wash,4,courgette,69
P01_01,still washing courgette,3912,4387,wash,4,courgette,69
P01_01,wash carrot,4457,4733,wash,4,carrot,40
P01_01,still washing carrot,4739,4967,wash,4,carrot,40
P01_01,close tap,4931,4991,close,3,tap,3
P01_01,put down vegetables,5129,5189,put-down,1,vegetable,90
P01_01,open cupboard,5245,5297,open,2,cupboard,8
P01_01,take grater,5551,5645,take,0,grater,131
P01_01,take pan,5716,5973,take,0,pan,1
P01_01,put down pan,6044,6135,put-down,1,pan,1
P01_01,close cupboard,6099,6144,close,3,cupboard,8
P01_01,close cupboard,6181,6226,close,3,cupboard,8
P01_01,take courgette,6246,6313,take,0,courgette,69
P01_01,cut courgette,6341,7321,cut,5,courgette,69
P01_01,turn on hob,7327,7618,turn-on,12,hob,47
P01_01,cut courgette,7668,8693,cut,5,courgette,69
P01_01,still cutting courgette,7859,8747,cut,5,courgette,69
P01_01,dicing courgette,9031,9939,dice,5,courgette,69
P01_01,still dicing courgette,9945,10816,dice,5,courgette,69
P01_01,still dicing courgette,10822,11634,dice,5,courgette,69
P01_01,still dicing courgette,14342,14928,dice,5,courgette,69
P01_01,pour courgette onto pan,15003,15472,pour,7,courgette,69
P01_01,throw courgette into rubbish bin,15701,15878,throw,8,courgette,69
P01_01,open drawer,15903,15986,open,2,drawer,9
P01_01,close drawer,16114,16154,close,3,drawer,9
P01_01,take spatula,16225,16329,take,0,spatula,22
P01_01,stir courgette,16324,16671,stir,6,courgette,69
P01_01,take salt,16776,16881,take,0,salt,31
P01_01,open salt,16887,16975,open,2,salt,31
P01_01,pour salt onto pan,16968,17103,pour,7,salt,31
